camera_id,marker_id,corner_index,residual_px,ransac_inlier,observations,used_observations,jitter_px,image_x,image_y,projected_x,projected_y,world_x_m,world_y_m
3,17,0,11.3866,0,30,30,0.4714,943.333,563.000,951.729,570.692,-0.013500,-0.013500
3,17,1,27.1224,0,30,30,0.8433,1000.467,588.933,1023.495,603.263,-0.013500,0.013500
3,17,2,6.1019,0,30,30,0.6532,901.800,604.000,906.540,607.843,0.013500,0.013500
3,17,3,1.5756,1,30,30,0.5467,851.033,572.000,850.277,573.382,0.013500,-0.013500
3,18,0,31.9205,0,22,17,0.5128,1019.824,596.000,1046.411,613.664,-0.013500,0.020500
3,18,1,74.3196,0,22,19,0.8712,1097.105,625.421,1159.901,665.171,-0.013500,0.047500
3,18,2,28.0330,0,22,19,1.1816,993.000,657.842,1015.492,674.574,0.013500,0.047500
3,18,3,6.9439,0,22,19,0.8421,919.053,614.842,924.659,618.940,0.013500,0.020500
3,19,0,88.7172,0,30,30,0.5859,1123.300,635.000,1198.197,682.552,-0.013500,0.054500
3,19,1,211.1538,0,30,30,0.7645,1217.833,677.433,1404.478,776.173,-0.013500,0.081500
3,19,2,115.9218,0,30,30,0.6574,1122.033,733.000,1217.720,798.436,0.013500,0.081500
3,19,3,35.9972,0,30,30,0.4583,1018.000,671.700,1046.565,693.606,0.013500,0.054500
3,20,0,2.2517,1,15,15,0.4422,744.067,523.000,743.774,520.767,0.020500,-0.081500
3,20,1,1.4897,1,15,15,0.4989,768.133,539.000,769.123,537.886,0.020500,-0.054500
3,20,2,1.3045,1,15,15,0.6667,677.533,538.067,678.262,539.148,0.047500,-0.054500
3,20,3,1.0268,1,15,15,0.7832,662.600,520.400,662.694,521.423,0.047500,-0.081500
3,21,0,1.9588,1,30,30,0.5164,777.000,545.000,776.775,543.054,0.020500,-0.047500
3,21,1,0.9109,1,30,30,0.4819,811.367,566.000,811.873,566.757,0.020500,-0.020500
3,21,2,1.3637,1,30,27,0.6264,704.296,568.037,704.762,569.319,0.047500,-0.020500
3,21,3,0.7553,1,30,30,0.7126,683.733,544.433,682.983,544.523,0.047500,-0.047500
3,22,0,2.2919,1,30,30,1.0609,825.033,573.800,822.763,574.112,0.020500,-0.013500
3,22,1,2.6335,1,30,30,0.3145,872.967,607.000,874.563,609.095,0.020500,0.013500
3,22,2,1.5570,1,30,30,1.1624,745.667,613.733,744.181,614.200,0.047500,0.013500
3,22,3,1.0775,1,30,30,0.6092,712.633,577.167,711.561,577.060,0.047500,-0.013500
3,23,0,2.9609,1,7,6,1.1180,889.000,618.500,891.282,620.386,0.020500,0.020500
3,23,1,17.9206,0,7,6,0.5000,961.000,666.500,975.386,677.185,0.020500,0.047500
3,23,2,3.1506,1,7,6,0.0000,808.000,691.000,809.017,688.018,0.047500,0.047500
3,23,3,2.5823,1,7,6,0.4714,757.000,627.667,754.809,626.300,0.047500,0.020500
3,25,0,1.3558,1,21,21,0.4762,639.762,520.952,640.954,521.598,0.054500,-0.081500
3,25,1,1.7717,1,21,21,0.4259,653.000,537.905,653.795,539.488,0.054500,-0.054500
3,25,2,0.8514,1,21,21,0.4714,555.667,540.000,555.655,540.851,0.081500,-0.054500
3,25,3,0.7171,1,21,21,0.0000,554.000,523.000,554.154,522.300,0.081500,-0.081500
3,26,0,0.8822,1,30,25,0.8429,657.640,545.800,657.693,544.919,0.054500,-0.047500
3,26,1,1.8805,1,30,30,0.5706,675.700,568.133,675.706,570.014,0.054500,-0.020500
3,26,2,0.6330,1,30,30,0.4819,557.633,573.000,558.241,572.823,0.081500,-0.020500
3,26,3,0.6160,1,30,30,0.3902,555.933,547.100,556.112,546.511,0.081500,-0.047500
3,27,0,0.6728,1,30,30,1.2170,681.633,578.467,681.339,577.862,0.054500,-0.013500
3,27,1,1.4506,1,30,30,0.7775,709.133,614.333,708.426,615.600,0.054500,0.013500
3,27,2,0.6665,1,30,30,0.5270,561.567,621.033,562.165,621.327,0.081500,0.013500
3,27,3,2.2818,1,30,30,0.4000,558.000,583.200,558.911,581.108,0.081500,-0.013500
3,28,0,1.8443,1,30,30,1.0349,718.467,629.333,717.274,627.927,0.054500,0.020500
3,28,1,2.4021,1,30,30,0.7782,763.033,693.400,762.577,691.042,0.054500,0.047500
3,28,2,1.2228,1,30,30,0.7860,567.667,703.267,568.826,703.657,0.081500,0.047500
3,28,3,1.7888,1,30,30,0.7986,562.167,636.033,563.239,634.602,0.081500,0.020500
3,31,0,1.0440,1,30,30,0.2494,529.000,547.933,528.678,546.940,0.088500,-0.047500
3,31,1,0.9074,1,30,30,0.0000,527.000,573.000,526.308,573.587,0.088500,-0.020500
3,31,2,13.9994,0,30,30,0.4384,410.033,571.800,396.913,576.681,0.115500,-0.020500
3,31,3,10.2049,0,30,28,0.8073,428.500,548.750,418.295,548.669,0.115500,-0.047500
3,32,0,1.7492,1,29,29,0.8146,526.103,583.655,525.560,581.992,0.088500,-0.013500
3,32,1,1.6336,1,29,29,1.1088,522.069,621.276,521.921,622.903,0.088500,0.013500
3,32,2,21.0597,0,29,29,0.6827,376.379,621.897,356.691,629.372,0.115500,0.013500
3,32,3,13.5100,0,29,28,0.3499,403.143,582.000,390.117,585.584,0.115500,-0.013500
3,33,0,0.9237,1,30,30,1.0269,521.633,636.333,520.716,636.444,0.088500,0.020500
3,33,1,3.0338,1,30,30,0.9944,514.500,704.167,514.422,707.199,0.088500,0.047500
3,33,2,45.6163,0,30,30,0.5627,323.000,695.500,285.926,722.077,0.115500,0.047500
3,33,3,23.4989,0,30,30,0.5270,367.567,635.967,345.497,644.037,0.115500,0.020500
